restaurant,menu_name,menu_category,weight_g,price_krw,calorie_kcal,protein_g,sugar_g,saturated_fat_g,sodium_mg,caffeine_mg,nutrition_basis,total_weight_g
파파존스,프리미엄 직화불고기(F 골드링씬),피자,111,,323,13,5,7,475,,,
파파존스,프리미엄 직화불고기(F 스파이시 갈릭 치즈롤),피자,133,,369,18,5,8,666,,,
파파존스,프리미엄 직화불고기(F 체다치즈롤),피자,134,,359,17,5,7,710,,,
파파존스,프리미엄 직화불고기(P 오리지널),피자,126,,331,14,6,5,617,,,
파파존스,프리미엄 직화불고기(P 골드링),피자,150,,419,20,10,7,701,,,
파파존스,프리미엄 직화불고기(P 치즈롤),피자,144,,391,19,5,8,744,,,
파파존스,프리미엄 직화불고기(P 스파이시 갈릭 치즈롤),피자,143,,398,19,5,8,717,,,
파파존스,프리미엄 직화불고기(P 체다치즈롤),피자,144,,387,19,5,8,764,,,
파파존스,하와이안(R 오리지널),피자,134,,312,13,8,4,637,,,
파파존스,하와이안(L 오리지널),피자,182,,424,18,11,5,865,,,
파파존스,하와이안(L 골드링),피자,106,,263,12,10,4,482,,,
파파존스,하와이안(L 치즈롤),피자,120,,290,14,5,5,605,,,
파파존스,하와이안(L 크루아상),피자,160,,446,16,7,9,748,,,
파파존스,하와이안(L 스파이시 갈릭 치즈롤),피자,118,,292,14,6,5,577,,,
파파존스,하와이안(L 체다치즈롤),피자,104,,247,12,5,4,536,,,
파파존스,하와이안(F 오리지널),피자,122,,285,12,7,4,582,,,
파파존스,하와이안(F 골드링),피자,158,,392,18,15,6,720,,,
파파존스,하와이안(F 치즈롤),피자,160,,386,18,7,7,805,,,
파파존스,하와이안(F 씬),피자,120,,313,13,3,5,562,,,
파파존스,하와이안(F 골드링씬),피자,156,,405,16,10,7,653,,,
파파존스,하와이안(F 스파이시 갈릭 치즈롤),피자,156,,384,18,8,7,759,,,
파파존스,하와이안(F 체다치즈롤),피자,143,,342,16,7,6,741,,,
파파존스,하와이안(P 오리지널),피자,124,,290,12,8,4,592,,,
파파존스,하와이안(P 골드링),피자,171,,424,20,16,6,779,,,
파파존스,하와이안(P 치즈롤),피자,161,,389,19,7,7,811,,,
파파존스,하와이안(P 스파이시 갈릭 치즈롤),피자,156,,384,18,8,7,759,,,
파파존스,하와이안(P 체다치즈롤),피자,154,,369,17,7,6,798,,,
파파존스,페퍼로니(R 오리지널),피자,118,,333,13,6,6,751,,,
파파존스,페퍼로니(L 오리지널),피자,160,,451,18,8,7,1019,,,
파파존스,페퍼로니(L 골드링),피자,187,,559,24,14,11,1136,,,
파파존스,페퍼로니(L 치즈롤),피자,106,,309,14,4,7,714,,,
파파존스,페퍼로니(L 크루아상),피자,141,,475,16,5,12,882,,,
파파존스,페퍼로니(L 스파이시 갈릭 치즈롤),피자,105,,311,14,4,7,680,,,
파파존스,페퍼로니(L 체다치즈롤),피자,183,,527,23,7,12,1263,,,
파파존스,페퍼로니(F 오리지널),피자,108,,304,12,5,5,685,,,
파파존스,페퍼로니(F 골드링),피자,140,,418,18,10,8,849,,,
파파존스,페퍼로니(F 치즈롤),피자,141,,411,18,5,9,949,,,
파파존스,페퍼로니(F 씬),피자,106,,334,13,2,7,662,,,
파파존스,페퍼로니(F 골드링씬),피자,138,,431,16,7,10,769,,,
파파존스,페퍼로니(F 스파이시 갈릭 치즈롤),피자,137,,409,18,6,9,894,,,
파파존스,페퍼로니(F 체다치즈롤),피자,127,,365,16,5,8,874,,,
파파존스,페퍼로니(P 오리지널),피자,110,,309,12,5,5,697,,,
파파존스,페퍼로니(P 골드링),피자,151,,452,19,11,9,918,,,
파파존스,페퍼로니(P 치즈롤),피자,142,,414,18,5,9,956,,,
파파존스,페퍼로니(P 스파이시 갈릭 치즈롤),피자,138,,409,18,6,9,895,,,
파파존스,페퍼로니(P 체다치즈롤),피자,136,,393,17,5,9,941,,,
파파존스,마가리타(R 오리지널),피자,108,,290,12,5,3,668,,,
파파존스,마가리타(L 오리지널),피자,147,,393,16,7,5,907,,,
파파존스,마가리타(L 골드링),피자,171,,488,21,13,7,1012,,,
파파존스,마가리타(L 치즈롤),피자,195,,539,24,7,8,1271,,,
파파존스,마가리타(L 크루아상),피자,130,,414,14,5,7,785,,,
파파존스,마가리타(L 스파이시 갈릭 치즈롤),피자,192,,542,24,8,9,1211,,,
파파존스,마가리타(L 체다치즈롤),피자,168,,459,21,6,7,1124,,,
파파존스,마가리타(F 오리지널),피자,197,,529,22,10,6,1221,,,
파파존스,마가리타(F 골드링),피자,128,,364,16,10,5,756,,,
파파존스,마가리타(F 치즈롤),피자,129,,358,16,5,6,845,,,
파파존스,마가리타(F 씬),피자,194,,582,23,3,9,1180,,,
파파존스,마가리타(F 골드링씬),피자,127,,376,14,7,6,685,,,
파파존스,마가리타(F 스파이시 갈릭 치즈롤),피자,126,,356,16,5,6,796,,,
파파존스,마가리타(F 체다치즈롤),피자,116,,318,14,4,5,778,,,
파파존스,마가리타(P 오리지널),피자,100,,269,11,5,3,621,,,
파파존스,마가리타(P 골드링),피자,139,,394,17,11,5,818,,,
파파존스,마가리타(P 치즈롤),피자,130,,361,16,5,6,851,,,
파파존스,마가리타(P 스파이시 갈릭 치즈롤),피자,126,,357,16,5,6,797,,,
파파존스,마가리타(P 체다치즈롤),피자,125,,342,15,5,5,837,,,
파파존스,위스콘신 치즈 포테이토(L 오리지널),피자,190,,529,24,5,10,1238,,,
파파존스,위스콘신 치즈 포테이토(L 골드링),피자,111,,328,16,4,7,691,,,
파파존스,위스콘신 치즈 포테이토(L 치즈롤),피자,126,,363,18,2,9,867,,,
파파존스,위스콘신 치즈 포테이토(L 크루아상),피자,168,,557,22,3,16,1072,,,
파파존스,위스콘신 치즈 포테이토(L 스파이시 갈릭 치즈롤),피자,124,,365,18,3,10,827,,,
파파존스,위스콘신 치즈 포테이토(L 체다치즈롤),피자,108,,309,16,2,8,767,,,
파파존스,위스콘신 치즈 포테이토(F 오리지널),피자,128,,356,16,3,7,833,,,
파파존스,위스콘신 치즈 포테이토(F 골드링),피자,166,,490,24,6,11,1032,,,
파파존스,위스콘신 치즈 포테이토(F 치즈롤),피자,168,,482,24,3,12,1154,,,
파파존스,위스콘신 치즈 포테이토(F 스파이시 갈릭 치즈롤),피자,163,,480,24,3,13,1087,,,
파파존스,위스콘신 치즈 포테이토(F 체다치즈롤),피자,150,,428,21,3,11,1062,,,
파파존스,위스콘신 치즈 포테이토(P 오리지널),피자,130,,362,17,3,7,847,,,
파파존스,위스콘신 치즈 포테이토(P 골드링),피자,179,,530,26,7,12,1116,,,
파파존스,위스콘신 치즈 포테이토(P 치즈롤),피자,169,,486,25,3,13,1162,,,
파파존스,위스콘신 치즈 포테이토(P 스파이시 갈릭 치즈롤),피자,163,,480,24,3,13,1088,,,
파파존스,위스콘신 치즈 포테이토(P 체다치즈롤),피자,162,,461,23,3,12,1143,,,
파파존스,슈림프 알프레도(F 씬),피자,103,,244,13,1,5,473,,,
파파존스,햄 머쉬룸 식스치즈(L 오리지널),피자,184,,448,20,6,8,808,,,
파파존스,햄 머쉬룸 식스치즈(L 골드링),피자,108,,278,14,5,6,451,,,
파파존스,햄 머쉬룸 식스치즈(L 치즈롤),피자,122,,307,15,3,7,566,,,
파파존스,햄 머쉬룸 식스치즈(L 크루아상),피자,163,,471,18,4,12,700,,,
