restaurant,menu_name,menu_category,weight_g,price_krw,calorie_kcal,protein_g,sugar_g,saturated_fat_g,sodium_mg,caffeine_mg,nutrition_basis
파리바게뜨,하트딸기 프레첼,,70,,330,7,19,11,380,,
파리바게뜨,카페 아다지오 딥쇼콜라라떼,,250,,190,5,24,4.5,164,,
파리바게뜨,초코바게뜨,,134,,350,9,17,3.9,480,,
파리바게뜨,아름다운 시작,,1310,,380,4,20,11,170,,
파리바게뜨,바닐라아이스캔디,,,,130,2,9,4.9,35,,
파리바게뜨,하트 윙크 춘식이,,455,,425,5,23,13,120,,
파리바게뜨,망고밤 케이크,,750,,185,2,14,6,55,,
파리바게뜨,초코칩 월넛 쿠키,,40,,175,2,14,3.6,115,,
파리바게뜨,베리 오트밀 쿠키,,40,,165,3,11,3.3,130,,
파리바게뜨,저당 그릭요거트 케이크(조각),,80,,230,4,4,9,75,,
파리바게뜨,망고밤 샌드,,190,,465,9,29,9,440,,
파리바게뜨,햄에그 컵 샐러드,,145,,215,9,4,2.9,400,,
파리바게뜨,산베네데토 워터,,500,,0,0,0,0,0,,
파리바게뜨,포테이토 크랩 샌드위치,,80,,195,6,2,2.2,480,,
파리바게뜨,흑임자 베이글,,117,,345,10,11,1.7,530,,
파리바게뜨,인생크림빵 말차단팥,,108,,335,6,19,7,200,,
파리바게뜨,시저치킨 샐러드,,173,,253,17,5,4.1,700,,
파리바게뜨,젤리베어 네가지과일맛,,64,,230,4,38,0,5,,
파리바게뜨,한입만 에그마요롤(가성비),,70,,195,5,4,2.3,240,,
파리바게뜨,티트라 캐모마일,,250,,0,0,0,0,15,,
파리바게뜨,티트라 아이스 캐모마일,,300,,0,0,0,0,15,,
파리바게뜨,티트라 얼그레이,,250,,0,0,0,0,15,,
파리바게뜨,티트라 아이스 얼그레이,,300,,0,0,0,0,15,,
파리바게뜨,썸머 복숭아 에이드,,445,,,0,44,0,5,,
파리바게뜨,다크초코츄잉스타,,54,,250,2,10,8,105,,
파리바게뜨,쇼콜라크림도넛,,76,,240,5,8,6,210,,
파리바게뜨,우유크림도넛,,76,,230,5,8,4.8,220,,
파리바게뜨,스모어 쿠키,,45,,195,3,17,3.5,105,,
파리바게뜨,자이언트 스모어 쿠키,,100,,,6,38,8,240,,
파리바게뜨,피칸 더블초코 쿠키,,40,,175,2,14,3.6,110,,
파리바게뜨,스모어 마시멜로우 타르트,,50,,215,3,14,7,70,,
파리바게뜨,저당 베리 통밀 쿠키,,78,,330,4,3,8,300,,
파리바게뜨,저당 초코 오트밀 쿠키,,78,,335,5,3,9,300,,
