# 파파존스(pji.co.kr) 영양성분 모달 원본 캡처 2026-09-01
# 출처: https://pji.co.kr/menu/pizza/1000 > '영양 정보·원산지·알레르기' 모달 > 영양성분 탭
# 피자 행 구조: 첫 행 = 제품명\t사이즈\t도우\t총열량범위\t총중량(g)(총제공횟수)\t1회제공량(g)(기준조각수)\t열량\t당류\t단백질\t포화지방\t나트륨(10칸)
#              이후 행 = 사이즈부터 시작(9칸, 제품명은 직전 행에서 carry-forward)
# 사이즈: R=레귤러 L=라지 F=패밀리 P=파티. 1회 제공량 기준.
### 피자 (324행)
제품명	구분(사이즈)	도우	총 열량 범위(Kcal)	총 중량(g)(총 제공 횟수)	1회 제공량(g)(기준 조각수)	열량(Kcal)	당류(g)	단백질(g)	포화지방(g)	나트륨(mg)
P	스파이시 갈릭 치즈롤	2731~7095	1694(10)	169(1)	519	7	21	11	1035
P	체다치즈롤	2733~6884	1678(10)	168(1)	498	7	20	11	1087
스파이시 이탈리안	L	오리지널	1043~3009	717(4)	179(2)	491	7	20	8	1147
L	골드링	1733~3480	837(8)	105(1)	304	6	13	6	640
L	치즈롤	1521~3735	951(8)	119(1)	336	4	15	7	803
L	크루아상	2231~3111	633(4)	158(2)	516	5	18	13	993
L	스파이시 갈릭 치즈롤	1553~3752	936(8)	117(1)	338	4	15	8	766
L	체다치즈롤	1493~3338	819(8)	102(1)	287	3	13	6	711
F	오리지널	1482~4114	965(8)	121(1)	330	5	13	5	772
F	골드링	2351~5110	1252(8)	156(1)	455	10	20	9	956
F	치즈롤	2109~5049	1265(8)	158(1)	447	5	20	10	1069
F	씬	2444~4377	949(8)	119(1)	363	2	15	8	746
F	골드링씬	1755~5224	1236(8)	155(1)	469	7	18	11	866
F	스파이시 갈릭 치즈롤	2100~5029	1230(8)	154(1)	445	5	20	10	1007
F	체다치즈롤	2076~4644	1133(8)	142(1)	396	4	18	9	984
P	오리지널	1996~5264	1227(10)	123(1)	336	5	14	6	785
P	골드링	3151~6822	1692(10)	169(1)	492	11	22	9	1034
P	치즈롤	2772~6409	1592(10)	159(1)	450	5	20	10	1077
P	스파이시 갈릭 치즈롤	2731~6356	1539(10)	154(1)	445	5	20	10	1008
P	체다치즈롤	2733~6175	1525(10)	152(1)	427	5	19	9	1059
식스 치즈	L	오리지널	1043~2791	641(4)	160(2)	436	8	19	6	980
L	골드링	1733~3209	749(4)	187(2)	541	13	26	9	1093
L	치즈롤	1521~3435	850(8)	106(1)	299	4	15	6	686
L	크루아상	2231~2881	566(4)	141(2)	459	5	18	10	848
L	스파이시 갈릭 치즈롤	1553~3451	836(8)	105(1)	301	4	15	6	654
L	체다치즈롤	1493~3083	732(4)	183(2)	509	7	25	10	1214
F	오리지널	1482~3820	863(8)	108(1)	293	5	13	4	659
F	골드링	2351~4705	1119(8)	140(1)	404	10	20	7	817
F	치즈롤	2109~4651	1130(8)	141(1)	397	5	20	8	913
F	씬	2444~4053	849(8)	106(1)	323	2	14	6	637
F	골드링씬	1755~4806	1105(8)	138(1)	417	7	18	9	740
F	스파이시 갈릭 치즈롤	2100~4633	1100(8)	137(1)	395	5	19	8	860
F	체다치즈롤	2076~4291	1013(8)	127(1)	352	5	17	7	840
P	오리지널	1996~4890	1097(10)	110(1)	298	5	13	4	670
P	골드링	3151~6275	1513(10)	151(1)	437	11	21	7	883
P	치즈롤	2772~5907	1423(10)	142(1)	400	5	20	8	920
P	스파이시 갈릭 치즈롤	2731~5860	1376(10)	138(1)	395	5	19	8	861
P	체다치즈롤	2733~5699	1363(10)	136(1)	379	5	19	8	905
프리미엄 직화불고기	L	오리지널	1043~2825	677(4)	169(2)	445	8	19	7	828
L	골드링	1733~3295	807(8)	101(1)	281	7	13	5	471
L	치즈롤	1521~3144	773(4)	193(2)	524	6	25	11	998
L	크루아상	2231~2917	598(4)	149(2)	468	5	17	11	716
L	스파이시 갈릭 치즈롤	1553~3182	770(4)	192(2)	534	7	26	11	963
L	체다치즈롤	1493~3123	773(4)	193(2)	519	7	25	11	1026
F	오리지널	1482~3934	937(8)	117(1)	308	5	13	5	573
F	골드링	2351~4584	1116(8)	140(1)	389	9	18	7	651
F	치즈롤	2109~4375	1070(8)	134(1)	363	4	18	7	691
F	씬	2444~3440	670(4)	168(2)	492	3	21	10	805
F	골드링씬	1755~4057	888(8)	111(1)	323	5	13	7	475
F	스파이시 갈릭 치즈롤	2100~4429	1065(8)	133(1)	369	5	18	8	666
F	체다치즈롤	2076~4346	1070(8)	134(1)	359	5	17	7	710
P	오리지널	1996~5218	1261(10)	126(1)	331	6	14	5	617
P	골드링	3151~6093	1502(10)	150(1)	419	10	20	7	701
P	치즈롤	2772~5812	1440(10)	144(1)	391	5	19	8	744
P	스파이시 갈릭 치즈롤	2731~5884	1434(10)	143(1)	398	5	19	8	717
P	체다치즈롤	2733~5773	1440(10)	144(1)	387	5	19	8	764
하와이안	R	오리지널	622~1469	401(3)	134(2)	312	8	13	4	637
L	오리지널	1043~2741	726(4)	182(2)	424	11	18	5	865
L	골드링	1733~3147	848(8)	106(1)	263	10	12	4	482
L	치즈롤	1521~3367	962(8)	120(1)	290	5	14	5	605
L	크루아상	2231~2829	641(4)	160(2)	446	7	16	9	748
L	스파이시 갈릭 치즈롤	1553~3382	947(8)	118(1)	292	6	14	5	577
L	체다치즈롤	1493~3025	829(8)	104(1)	247	5	12	4	536
F	오리지널	1482~3753	977(8)	122(1)	285	7	12	4	582
F	골드링	2351~4612	1267(8)	158(1)	392	15	18	6	720
F	치즈롤	2109~4560	1280(8)	160(1)	386	7	18	7	805
F	씬	2444~3980	961(8)	120(1)	313	3	13	5	562
F	골드링씬	1755~4711	1252(8)	156(1)	405	10	16	7	653
F	스파이시 갈릭 치즈롤	2100~4543	1245(8)	156(1)	384	8	18	7	759
F	체다치즈롤	2076~4211	1147(8)	143(1)	342	7	16	6	741
P	오리지널	1996~4804	1242(10)	124(1)	290	8	12	4	592
P	골드링	3151~6150	1714(10)	171(1)	424	16	20	6	779
P	치즈롤	2772~5793	1612(10)	161(1)	389	7	19	7	811
P	스파이시 갈릭 치즈롤	2731~5747	1558(10)	156(1)	384	8	18	7	759
P	체다치즈롤	2733~5591	1544(10)	154(1)	369	7	17	6	798
페퍼로니	R	오리지널	622~1530	354(3)	118(2)	333	6	13	6	751
L	오리지널	1043~2851	641(4)	160(2)	451	8	18	7	1019
L	골드링	1733~3284	749(4)	187(2)	559	14	24	11	1136
L	치즈롤	1521~3519	850(8)	106(1)	309	4	14	7	714
L	크루아상	2231~2945	566(4)	141(2)	475	5	16	12	882
L	스파이시 갈릭 치즈롤	1553~3534	836(8)	105(1)	311	4	14	7	680
L	체다치즈롤	1493~3154	732(4)	183(2)	527	7	23	12	1263
F	오리지널	1482~3902	863(8)	108(1)	304	5	12	5	685
F	골드링	2351~4817	1119(8)	140(1)	418	10	18	8	849
F	치즈롤	2109~4761	1130(8)	141(1)	411	5	18	9	949
F	씬	2444~4143	849(8)	106(1)	334	2	13	7	662
F	골드링씬	1755~4922	1105(8)	138(1)	431	7	16	10	769
F	스파이시 갈릭 치즈롤	2100~4743	1100(8)	137(1)	409	6	18	9	894
F	체다치즈롤	2076~4389	1013(8)	127(1)	365	5	16	8	874
P	오리지널	1996~4993	1097(10)	110(1)	309	5	12	5	697
P	골드링	3151~6427	1513(10)	151(1)	452	11	19	9	918
P	치즈롤	2772~6047	1423(10)	142(1)	414	5	18	9	956
P	스파이시 갈릭 치즈롤	2731~5998	1376(10)	138(1)	409	6	18	9	895
P	체다치즈롤	2733~5831	1363(10)	136(1)	393	5	17	9	941
마가리타	R	오리지널	622~1402	324(3)	108(2)	290	5	12	3	668
L	오리지널	1043~2620	587(4)	147(2)	393	7	16	5	907
L	골드링	1733~2997	686(4)	171(2)	488	13	21	7	1012
L	치즈롤	1521~3202	778(4)	195(2)	539	7	24	8	1271
L	크루아상	2231~2702	518(4)	130(2)	414	5	14	7	785
L	스파이시 갈릭 치즈롤	1553~3215	766(4)	192(2)	542	8	24	9	1211
L	체다치즈롤	1493~2884	670(4)	168(2)	459	6	21	7	1124
F	오리지널	1482~3590	790(4)	197(2)	529	10	22	6	1221
F	골드링	2351~4388	1025(8)	128(1)	364	10	16	5	756
F	치즈롤	2109~4340	1035(8)	129(1)	358	5	16	6	845
F	씬	2444~3801	777(4)	194(2)	582	3	23	9	1180
F	골드링씬	1755~4480	1012(8)	127(1)	376	7	14	6	685
F	스파이시 갈릭 치즈롤	2100~4324	1007(8)	126(1)	356	5	16	6	796
F	체다치즈롤	2076~4015	927(8)	116(1)	318	4	14	5	778
P	오리지널	1996~4597	1004(10)	100(1)	269	5	11	3	621
P	골드링	3151~5847	1386(10)	139(1)	394	11	17	5	818
P	치즈롤	2772~5516	1304(10)	130(1)	361	5	16	6	851
P	스파이시 갈릭 치즈롤	2731~5473	1260(10)	126(1)	357	5	16	6	797
P	체다치즈롤	2733~5328	1248(10)	125(1)	342	5	15	5	837
위스콘신 치즈 포테이토	L	오리지널	1043~3164	760(4)	190(2)	529	5	24	10	1238
L	골드링	1733~3671	888(8)	111(1)	328	4	16	7	691
L	치즈롤	1521~3946	1008(8)	126(1)	363	2	18	9	867
L	크루아상	2231~3274	671(4)	168(2)	557	3	22	16	1072
L	스파이시 갈릭 치즈롤	1553~3965	992(8)	124(1)	365	3	18	10	827
L	체다치즈롤	1493~3519	868(8)	108(1)	309	2	16	8	767
F	오리지널	1482~4322	1023(8)	128(1)	356	3	16	7	833
F	골드링	2351~5396	1327(8)	166(1)	490	6	24	11	1032
F	치즈롤	2109~5331	1340(8)	168(1)	482	3	24	12	1154
F	스파이시 갈릭 치즈롤	2100~5309	1304(8)	163(1)	480	3	24	13	1087
F	체다치즈롤	2076~4894	1201(8)	150(1)	428	3	21	11	1062
P	오리지널	1996~5528	1300(10)	130(1)	362	3	17	7	847
P	골드링	3151~7209	1794(10)	179(1)	530	7	26	12	1116
P	치즈롤	2772~6763	1688(10)	169(1)	486	3	25	13	1162
P	스파이시 갈릭 치즈롤	2731~6706	1631(10)	163(1)	480	3	24	13	1088
P	체다치즈롤	2733~6511	1616(10)	162(1)	461	3	23	12	1143
슈림프 알프레도	F	씬	2444~3424	821(8)	103(1)	244	1	13	5	473
햄 머쉬룸 식스치즈	L	오리지널	1043~2838	738(4)	184(2)	448	6	20	8	808
L	골드링	1733~3268	862(8)	108(1)	278	5	14	6	451
L	치즈롤	1521~3501	978(8)	122(1)	307	3	15	7	566
L	크루아상	2231~2931	651(4)	163(2)	471	4	18	12	700
L	스파이시 갈릭 치즈롤	1553~3516	963(8)	120(1)	309	3	15	7	540
L	체다치즈롤	1493~3139	843(8)	105(1)	262	3	13	6	501
F	오리지널	1482~3884	993(8)	124(1)	301	4	14	5	544
F	골드링	2351~4793	1288(8)	161(1)	415	8	20	8	674
F	치즈롤	2109~4738	1302(8)	163(1)	408	4	21	10	753
F	씬	2444~4124	977(8)	122(1)	331	1	15	7	526
F	골드링씬	1755~4897	1272(8)	159(1)	428	6	18	11	610
F	스파이시 갈릭 치즈롤	2100~4719	1266(8)	158(1)	406	4	20	10	709
F	체다치즈롤	2076~4368	1166(8)	146(1)	362	4	18	8	693
P	오리지널	1996~4971	1262(10)	126(1)	307	4	14	5	553
P	골드링	3151~6394	1742(10)	174(1)	449	9	22	9	729
P	치즈롤	2772~6016	1639(10)	164(1)	411	4	21	10	759
P	스파이시 갈릭 치즈롤	2731~5968	1584(10)	158(1)	406	4	20	10	710
P	체다치즈롤	2733~5803	1569(10)	157(1)	390	4	19	9	746
그린잇 식물성 마가리타	L	오리지널	1043~2646	584(4)	146(2)	400	9	10	5	826
그린잇 식물성 가든스페셜	L	오리지널	1043~2668	767(4)	192(2)	405	11	11	7	841
크리스피 치즈 트리플	F	씬	2444~3445	577(4)	144(2)	493	3	23	8	984
크리스피 치즈 페퍼로니	F	씬	2444~3591	655(4)	164(2)	530	4	24	10	1099
더블 핫 앤 스파이시 멕시칸	L	스파이시 갈릭 치즈롤	1553~3367	969(8)	121(1)	290	5	12	5	676
F	스파이시 갈릭 치즈롤	2100~4523	1274(8)	159(1)	381	7	16	7	888
P	스파이시 갈릭 치즈롤	2731~5722	1594(10)	159(1)	382	7	16	7	889
골든 체다 페퍼	L	체다치즈롤	1043~3729	961(8)	120(1)	335	3	16	6	734
F	체다치즈롤	1482~5185	1330(8)	166(1)	464	4	22	9	1016
P	체다치즈롤	1996~6902	1790(10)	179(1)	500	4	24	10	1094
불닭 까르보 치킨 피자	L	오리지널	1043~2927	752(8)	188(2)	470	9	23	5	1105
F	오리지널	1482~4076	1041(8)	130(1)	325	6	16	3	764
P	오리지널	1996~5410	1401(10)	140(1)	350	7	17	3	823
L	치즈롤	1521~3265	859(8)	107(1)	277	4	15	4	666
F	치즈롤	2109~4544	1188(8)	149(1)	384	5	21	5	922
P	치즈롤	2772~6039	1599(10)	160(1)	413	5	23	6	993
L	골드링	1733~3425	896(8)	112(1)	297	8	16	3	628
F	골드링	2351~4765	1240(8)	155(1)	411	11	22	5	869
P	골드링	3151~6336	1669(10)	167(1)	443	12	24	5	936
F	씬	2444~3554	744(8)	186(2)	520	3	25	7	1074
F	골드링씬	1755~4207	986(8)	123(1)	342	6	16	5	634
L	스파이시갈릭치즈롤	1553~3306	855(8)	107(1)	282	4	15	4	643
F	스파이시갈릭치즈롤	2100~4600	1183(8)	148(1)	391	6	21	5	889
P	스파이시갈릭치즈롤	2731~6115	1593(10)	159(1)	421	6	23	6	958
L	크루아상	2231~3025	664(8)	166(2)	495	6	21	7	956
L	체다치즈롤	1493~3243	859(8)	107(1)	275	4	15	4	685
F	체다치즈롤	2076~4513	1188(8)	149(1)	380	5	21	5	947
P	체다치즈롤	2733~5997	1599(10)	160(1)	409	6	22	5	1020
### 사이드 (13행)
